                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2889,                  1.459,                 1.1052,                0.98145,                      1,                  0.995,                0.61003,                 1.2425,                 1.1743,                 1.1104,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2339,                 1.2942,                 1.0289,                0.98869,                      1,                  0.995,                0.49235,                 1.5733,                 1.1397,                 1.2208,               0.001307,               0.001307,               0.001307
                     37,                 1.2815,                  1.354,                 1.0842,                0.98325,                      1,                  0.995,                0.55927,                 1.5865,                 1.1904,                 1.2366,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2351,                 1.3301,                  1.029,                0.98325,                      1,                  0.995,                0.55927,                 1.5865,                 1.1904,                 1.2366,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1442,                 1.2393,                0.99086,                0.98784,                      1,                  0.995,                0.65405,                 1.1046,                0.94189,                 1.0344,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2902,                  1.401,                  1.108,                  0.994,                      1,                  0.995,                 0.6709,                 1.0612,                0.83022,                 1.0574,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2541,                 1.4752,                  1.086,                  0.994,                      1,                  0.995,                 0.6709,                 1.0612,                0.83022,                 1.0574,               0.001208,               0.001208,               0.001208
                     42,                 1.1177,                 1.2334,                 1.0277,                0.99465,                      1,                  0.995,                0.65539,                 1.1751,                0.83386,                 1.0551,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1011,                 1.2731,                 1.0057,                0.99259,                      1,                  0.995,                 0.5203,                 1.5482,                0.93453,                 1.1939,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2469,                 1.1881,                 1.0698,                0.99259,                      1,                  0.995,                 0.5203,                 1.5482,                0.93453,                 1.1939,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2002,                 1.2396,                 1.0851,                0.99264,                      1,                  0.995,                0.49176,                 1.6281,                 0.9531,                 1.2503,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2257,                 1.2455,                 1.0871,                0.99371,                      1,                  0.995,                0.65493,                 1.3846,                0.83216,                 1.0765,               0.001109,               0.001109,               0.001109
                     47,                 1.1237,                 1.2248,                 1.0243,                0.99371,                      1,                  0.995,                0.65493,                 1.3846,                0.83216,                 1.0765,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0855,                 1.1045,                0.98301,                0.99379,                      1,                  0.995,                0.71769,                 1.1537,                0.74289,                 1.0564,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1306,                 1.0985,                 1.0415,                0.99385,                      1,                  0.995,                0.64041,                 1.2229,                0.79692,                 1.0618,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0154,                 1.0818,                 1.0165,                0.99385,                      1,                  0.995,                0.64041,                 1.2229,                0.79692,                 1.0618,              0.0010298,              0.0010298,              0.0010298
